scientific_name,name_da,status,source,license,attribution,issues,recommendations
"Limosa lapponica","Lille kobbersneppe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Limosa%20lapponica; Document original source or replace with properly attributed image"
"Limosa limosa","Stor kobbersneppe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Limosa%20limosa; Document original source or replace with properly attributed image"
"Recurvirostra avosetta","Klyde","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Recurvirostra%20avosetta; Document original source or replace with properly attributed image"
"Calidris pugnax","Brushane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20pugnax; Document original source or replace with properly attributed image"
"Calidris alpina","Almindelig ryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20alpina; Document original source or replace with properly attributed image"
"Calidris alba","Sandløber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20alba; Document original source or replace with properly attributed image"
"Calidris canutus","Islandsk ryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20canutus; Document original source or replace with properly attributed image"
"Calidris maritima","Sortgrå ryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20maritima; Document original source or replace with properly attributed image"
"Calidris minuta","Dværgryle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Calidris%20minuta; Document original source or replace with properly attributed image"
"Gallinago gallinago","Dobbeltbekkasin","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Gallinago%20gallinago; Document original source or replace with properly attributed image"
"Lymnocryptes minimus","Enkeltbekkasin","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Lymnocryptes%20minimus; Document original source or replace with properly attributed image"
"Scolopax rusticola","Skovsneppe","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Scolopax%20rusticola; Document original source or replace with properly attributed image"
"Charadrius hiaticula","Stor præstekrave","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Charadrius%20hiaticula; Document original source or replace with properly attributed image"
"Charadrius dubius","Lille præstekrave","critical","inaturalist","cc-by-nc","(c) Геннадий, some rights reserved (CC BY-NC), uploaded by Геннадий","Non-commercial license (blocks commercial use)","Replace with CC-BY or CC0 licensed image"
"Pluvialis apricaria","Hjejle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pluvialis%20apricaria; Document original source or replace with properly attributed image"
"Pluvialis squatarola","Strandhjejle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pluvialis%20squatarola; Document original source or replace with properly attributed image"
"Arenaria interpres","Stenvenderen","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Arenaria%20interpres; Document original source or replace with properly attributed image"
"Phalaropus lobatus","Odinshane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phalaropus%20lobatus; Document original source or replace with properly attributed image"
"Phalaropus fulicarius","Thorshane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phalaropus%20fulicarius; Document original source or replace with properly attributed image"
"Himantopus himantopus","Stylteløber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Himantopus%20himantopus; Document original source or replace with properly attributed image"
"Dendrocopos major","Stor flagspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Dendrocopos%20major; Document original source or replace with properly attributed image"
"Dryobates minor","Lille flagspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Dryobates%20minor; Document original source or replace with properly attributed image"
"Picus viridis","Grønspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Picus%20viridis; Document original source or replace with properly attributed image"
"Dryocopus martius","Sortspætte","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Dryocopus%20martius; Document original source or replace with properly attributed image"
"Columba oenas","Huldue","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Columba%20oenas; Document original source or replace with properly attributed image"
"Sitta europaea","Spætmejse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Sitta%20europaea; Document original source or replace with properly attributed image"
"Certhia familiaris","Træløber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Certhia%20familiaris; Document original source or replace with properly attributed image"
"Certhia brachydactyla","Korttået træløber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Certhia%20brachydactyla; Document original source or replace with properly attributed image"
"Corvus corax","Ravn","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Corvus%20corax; Document original source or replace with properly attributed image"
"Garrulus glandarius","Skovskade","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Garrulus%20glandarius; Document original source or replace with properly attributed image"
"Turdus philomelos","Sangdrossel","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Turdus%20philomelos; Document original source or replace with properly attributed image"
"Turdus viscivorus","Misteldrossel","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Turdus%20viscivorus; Document original source or replace with properly attributed image"
"Turdus iliacus","Vindrossel","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Turdus%20iliacus; Document original source or replace with properly attributed image"
"Turdus pilaris","Sjagger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Turdus%20pilaris; Document original source or replace with properly attributed image"
"Regulus regulus","Fuglekonge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Regulus%20regulus; Document original source or replace with properly attributed image"
"Regulus ignicapilla","Rødtoppet fuglekonge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Regulus%20ignicapilla; Document original source or replace with properly attributed image"
"Cuculus canorus","Gøg","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Cuculus%20canorus; Document original source or replace with properly attributed image"
"Hirundo rustica","Landsvale","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Hirundo%20rustica; Document original source or replace with properly attributed image"
"Delichon urbicum","Bysvale","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Delichon%20urbicum; Document original source or replace with properly attributed image"
"Riparia riparia","Digesvale","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Riparia%20riparia; Document original source or replace with properly attributed image"
"Apus apus","Mursejler","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Apus%20apus; Document original source or replace with properly attributed image"
"Motacilla alba","Hvid vipstjert","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Motacilla%20alba; Document original source or replace with properly attributed image"
"Motacilla flava","Gul vipstjert","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Motacilla%20flava; Document original source or replace with properly attributed image"
"Motacilla cinerea","Bjergvipstjert","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Motacilla%20cinerea; Document original source or replace with properly attributed image"
"Anthus trivialis","Skovpiber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anthus%20trivialis; Document original source or replace with properly attributed image"
"Anthus pratensis","Engpiber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anthus%20pratensis; Document original source or replace with properly attributed image"
"Anthus petrosus","Skærpiber","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anthus%20petrosus; Document original source or replace with properly attributed image"
"Alauda arvensis","Sanglærke","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Alauda%20arvensis; Document original source or replace with properly attributed image"
"Lullula arborea","Hedelærke","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Lullula%20arborea; Document original source or replace with properly attributed image"
"Galerida cristata","Toplærke","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Galerida%20cristata; Document original source or replace with properly attributed image"
"Lanius collurio","Rødrygget tornskade","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Lanius%20collurio; Document original source or replace with properly attributed image"
"Lanius excubitor","Stor tornskade","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Lanius%20excubitor; Document original source or replace with properly attributed image"
"Ficedula hypoleuca","Broget fluesnapper","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ficedula%20hypoleuca; Document original source or replace with properly attributed image"
"Ficedula parva","Lille fluesnapper","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ficedula%20parva; Document original source or replace with properly attributed image"
"Muscicapa striata","Grå fluesnapper","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Muscicapa%20striata; Document original source or replace with properly attributed image"
"Phylloscopus trochilus","Løvsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phylloscopus%20trochilus; Document original source or replace with properly attributed image"
"Phylloscopus collybita","Gransanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phylloscopus%20collybita; Document original source or replace with properly attributed image"
"Phylloscopus sibilatrix","Skovsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phylloscopus%20sibilatrix; Document original source or replace with properly attributed image"
"Sylvia atricapilla","Munk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Sylvia%20atricapilla; Document original source or replace with properly attributed image"
"Sylvia borin","Havesanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Sylvia%20borin; Document original source or replace with properly attributed image"
"Curruca communis","Tornsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Curruca%20communis; Document original source or replace with properly attributed image"
"Curruca curruca","Gærdesanger","critical","inaturalist","cc-by-nc","(c) Евгений Гурьевских, some rights reserved (CC BY-NC), uploaded by Евгений Гурьевских","Non-commercial license (blocks commercial use)","Replace with CC-BY or CC0 licensed image"
"Acrocephalus scirpaceus","Rørsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Acrocephalus%20scirpaceus; Document original source or replace with properly attributed image"
"Acrocephalus palustris","Kærsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Acrocephalus%20palustris; Document original source or replace with properly attributed image"
"Acrocephalus schoenobaenus","Sivsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Acrocephalus%20schoenobaenus; Document original source or replace with properly attributed image"
"Acrocephalus arundinaceus","Drosselrørsanger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Acrocephalus%20arundinaceus; Document original source or replace with properly attributed image"
"Hippolais icterina","Gulbug","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Hippolais%20icterina; Document original source or replace with properly attributed image"
"Luscinia luscinia","Nattergal","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Luscinia%20luscinia; Document original source or replace with properly attributed image"
"Phoenicurus phoenicurus","Rødstjert","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phoenicurus%20phoenicurus; Document original source or replace with properly attributed image"
"Phoenicurus ochruros","Husrødstjert","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phoenicurus%20ochruros; Document original source or replace with properly attributed image"
"Saxicola rubicola","Bynkefugl","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Saxicola%20rubicola; Document original source or replace with properly attributed image"
"Oenanthe oenanthe","Stenpikker","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Oenanthe%20oenanthe; Document original source or replace with properly attributed image"
"Ciconia ciconia","Hvid stork","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ciconia%20ciconia; Document original source or replace with properly attributed image"
"Grus grus","Trane","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Grus%20grus; Document original source or replace with properly attributed image"
"Alcedo atthis","Isfugl","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Alcedo%20atthis; Document original source or replace with properly attributed image"
"Jynx torquilla","Vendehals","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Jynx%20torquilla; Document original source or replace with properly attributed image"
"Caprimulgus europaeus","Natravn","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Caprimulgus%20europaeus; Document original source or replace with properly attributed image"
"Cinclus cinclus","Vandstær","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Cinclus%20cinclus; Document original source or replace with properly attributed image"
"Panurus biarmicus","Skægmejse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Panurus%20biarmicus; Document original source or replace with properly attributed image"
"Remiz pendulinus","Pungmejse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Remiz%20pendulinus; Document original source or replace with properly attributed image"
"Platalea leucorodia","Skestork","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Platalea%20leucorodia; Document original source or replace with properly attributed image"
"Egretta garzetta","Lille sølvhejre","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Egretta%20garzetta; Document original source or replace with properly attributed image"
"Ardea alba","Stor sølvhejre","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ardea%20alba; Document original source or replace with properly attributed image"
"Phasianus colchicus","Fasan","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phasianus%20colchicus; Document original source or replace with properly attributed image"
"Perdix perdix","Agerhøne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Perdix%20perdix; Document original source or replace with properly attributed image"
"Coturnix coturnix","Vagtel","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Coturnix%20coturnix; Document original source or replace with properly attributed image"
"Emberiza citrinella","Gulspurv","critical","upload","","","Missing attribution","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Emberiza%20citrinella"
"Emberiza calandra","Bomlærke","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Emberiza%20calandra; Document original source or replace with properly attributed image"
"Emberiza schoeniclus","Rørspurv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Emberiza%20schoeniclus; Document original source or replace with properly attributed image"
"Plectrophenax nivalis","Snespurv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Plectrophenax%20nivalis; Document original source or replace with properly attributed image"
"Bombycilla garrulus","Silkehale","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Bombycilla%20garrulus; Document original source or replace with properly attributed image"
"Loxia leucoptera","Hvidvinget korsnæb","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Loxia%20leucoptera; Document original source or replace with properly attributed image"
"Loxia curvirostra","Lille korsnæb","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Loxia%20curvirostra; Document original source or replace with properly attributed image"
"Loxia pytyopsittacus","Stor korsnæb","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Loxia%20pytyopsittacus; Document original source or replace with properly attributed image"
"Nucifraga caryocatactes","Nøddekrige","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Nucifraga%20caryocatactes; Document original source or replace with properly attributed image"
"Pastor roseus","Rosenstær","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pastor%20roseus; Document original source or replace with properly attributed image"
"Oriolus oriolus","Pirol","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Oriolus%20oriolus; Document original source or replace with properly attributed image"
"Aquila chrysaetos","Kongeørn","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Aquila%20chrysaetos; Document original source or replace with properly attributed image"
"Merops apiaster","Biæder","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Merops%20apiaster; Document original source or replace with properly attributed image"
"Upupa epops","Hærfugl","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Upupa%20epops; Document original source or replace with properly attributed image"
"Coracias garrulus","Ellekrage","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Coracias%20garrulus; Document original source or replace with properly attributed image"
"Fringilla montifringilla","Kvækerfinke","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Fringilla%20montifringilla; Document original source or replace with properly attributed image"
"Ciconia nigra","Sort stork","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ciconia%20nigra; Document original source or replace with properly attributed image"
"Anarhynchus alexandrinus","Hvidbrystet præstekrave","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Anarhynchus%20alexandrinus; Document original source or replace with properly attributed image"
"Prunella collaris","Alpejernspurv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Prunella%20collaris; Document original source or replace with properly attributed image"
"Xema sabini","Sabinemåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Xema%20sabini; Document original source or replace with properly attributed image"
"Circus macrourus","Steppehøg","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Circus%20macrourus; Document original source or replace with properly attributed image"
"Falco vespertinus","Aftenfalk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Falco%20vespertinus; Document original source or replace with properly attributed image"
"Morus bassanus","Sule","warning","upload","","https://www.pexels.com/@wolfgang-wendefeuer-237270893/","Attribution present but license field missing","Add explicit license field (cc-by, cc0, etc.)"
"Spinus spinus","Grønsisken","ok","inaturalist","cc-by","(c) caroline legg, some rights reserved (CC BY)","",""
"Alle alle","Søkonge","ok","inaturalist","cc-by","(c) Christoph Moning, some rights reserved (CC BY), uploaded by Christoph Moning","",""